description,amount,weekday,category
big basket groceries,1450,1,Food
zomato dinner order,680,5,Food
swiggy lunch,320,2,Food
local cafe coffee,220,6,Food
supermarket vegetables,940,0,Food
restaurant family dinner,2100,6,Food
uber office ride,310,1,Transport
ola airport cab,1250,4,Transport
metro card recharge,500,0,Transport
petrol station fuel,2400,3,Transport
city bus pass,650,2,Transport
car fuel payment,1800,5,Transport
monthly apartment rent,18000,0,Housing
society maintenance fee,2500,2,Housing
home repair plumbing,1600,6,Housing
house rent transfer,15000,1,Housing
apartment maintenance,2200,4,Housing
electricity bill payment,1900,3,Utilities
broadband internet bill,899,5,Utilities
mobile phone recharge,399,1,Utilities
water utility bill,520,2,Utilities
gas cylinder booking,1100,6,Utilities
amazon household order,1750,1,Shopping
flipkart electronics,4200,5,Shopping
shopping mall clothes,2800,6,Shopping
online shoes purchase,1999,3,Shopping
department store items,1300,0,Shopping
pharmacy medicines,780,2,Health
doctor consultation,1000,4,Health
hospital diagnostic test,3500,1,Health
dental clinic visit,2200,6,Health
health checkup,1800,3,Health
netflix subscription,649,0,Entertainment
movie tickets,900,6,Entertainment
spotify premium,119,2,Entertainment
gaming purchase,1200,5,Entertainment
concert tickets,2500,4,Entertainment
online programming course,2999,1,Education
college textbooks,1800,3,Education
tuition class fees,5000,0,Education
exam registration fee,1200,2,Education
school stationery,650,6,Education
bank service charge,250,1,Other
charity donation,1000,5,Other
gift for friend,1500,6,Other
miscellaneous payment,800,3,Other
cash withdrawal fee,25,0,Other
food delivery order,450,1,Food
food restaurant payment,850,3,Food
food grocery purchase,1200,5,Food
transport cab ride,380,2,Transport
transport fuel expense,2100,4,Transport
transport metro ticket,120,6,Transport
housing rent payment,16000,1,Housing
housing maintenance payment,2300,3,Housing
housing repair expense,1800,5,Housing
utility electricity bill,1750,2,Utilities
utility internet bill,999,4,Utilities
utility mobile bill,499,6,Utilities
shopping online purchase,1600,1,Shopping
shopping clothes purchase,2200,3,Shopping
shopping store payment,900,5,Shopping
health medicine payment,650,2,Health
health doctor visit,1200,4,Health
health hospital expense,4200,6,Health
entertainment movie payment,700,1,Entertainment
entertainment subscription,550,3,Entertainment
entertainment game purchase,1300,5,Entertainment
education course fee,3500,2,Education
education books purchase,950,4,Education
education tuition fee,4800,6,Education
other miscellaneous expense,600,1,Other
other service payment,300,3,Other
other personal expense,1100,5,Other
